,Model,Accuracy,Precision,Recall,F1,ROC_AUC,MCC,Specificity,CV,Repeat,target,target_id,feature,turner
104,LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Fold5,1,Project,ProjectA,False,True
105,LogisticRegression,0.4,0.5,0.3333333333333333,0.4,0.3333333333333333,-0.16666666666666666,0.5,Fold6,1,Project,ProjectA,False,True
106,LogisticRegression,0.8,1.0,0.6666666666666666,0.8,1.0,0.6666666666666666,1.0,Fold7,1,Project,ProjectA,False,True
107,LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Fold8,1,Project,ProjectA,False,True
108,LogisticRegression,0.4,0.5,0.3333333333333333,0.4,0.16666666666666666,-0.16666666666666666,0.5,Fold9,1,Project,ProjectA,False,True
109,LogisticRegression,0.6,0.6,1.0,0.75,1.0,0.0,0.0,Fold10,1,Project,ProjectA,False,True
110,LogisticRegression,0.8,1.0,0.5,0.6666666666666666,1.0,0.6123724356957946,1.0,Fold1,2,Project,ProjectA,False,True
111,LogisticRegression,0.6,0.5,1.0,0.6666666666666666,0.6666666666666667,0.4082482904638631,0.3333333333333333,Fold2,2,Project,ProjectA,False,True
112,LogisticRegression,0.4,0.3333333333333333,0.5,0.4,0.6666666666666667,-0.16666666666666666,0.3333333333333333,Fold3,2,Project,ProjectA,False,True
113,LogisticRegression,0.8,0.6666666666666666,1.0,0.8,0.6666666666666667,0.6666666666666666,0.6666666666666666,Fold4,2,Project,ProjectA,False,True
114,LogisticRegression,0.8,1.0,0.5,0.6666666666666666,0.6666666666666667,0.6123724356957946,1.0,Fold5,2,Project,ProjectA,False,True
115,LogisticRegression,0.4,0.5,0.6666666666666666,0.5714285714285714,0.0,-0.4082482904638631,0.0,Fold6,2,Project,ProjectA,False,True
116,LogisticRegression,0.8,1.0,0.6666666666666666,0.8,0.8333333333333333,0.6666666666666666,1.0,Fold7,2,Project,ProjectA,False,True
117,LogisticRegression,0.6,1.0,0.3333333333333333,0.5,0.6666666666666666,0.4082482904638631,1.0,Fold8,2,Project,ProjectA,False,True
118,LogisticRegression,0.4,0.5,0.3333333333333333,0.4,0.3333333333333333,-0.16666666666666666,0.5,Fold9,2,Project,ProjectA,False,True
119,LogisticRegression,0.8,1.0,0.6666666666666666,0.8,1.0,0.6666666666666666,1.0,Fold10,2,Project,ProjectA,False,True
120,LogisticRegression,0.8,0.6666666666666666,1.0,0.8,1.0,0.6666666666666666,0.6666666666666666,Fold1,3,Project,ProjectA,False,True
121,LogisticRegression,0.8,0.6666666666666666,1.0,0.8,0.6666666666666667,0.6666666666666666,0.6666666666666666,Fold2,3,Project,ProjectA,False,True
122,LogisticRegression,0.4,0.3333333333333333,0.5,0.4,0.33333333333333337,-0.16666666666666666,0.3333333333333333,Fold3,3,Project,ProjectA,False,True
123,LogisticRegression,0.4,0.0,0.0,0.0,0.5,-0.4082482904638631,0.6666666666666666,Fold4,3,Project,ProjectA,False,True
124,LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Fold5,3,Project,ProjectA,False,True
125,LogisticRegression,0.4,0.5,0.6666666666666666,0.5714285714285714,0.3333333333333333,-0.4082482904638631,0.0,Fold6,3,Project,ProjectA,False,True
126,LogisticRegression,0.6,1.0,0.3333333333333333,0.5,0.6666666666666666,0.4082482904638631,1.0,Fold7,3,Project,ProjectA,False,True
127,LogisticRegression,0.6,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.16666666666666666,0.5,Fold8,3,Project,ProjectA,False,True
128,LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Fold9,3,Project,ProjectA,False,True
